Market Store Name,Carrier - Service Selected,Market - Store Name,Order - Number,Ship To - Country,Ship To - Postal Code,Shipment - Weight (Oz),Shipment - Zone,Sum - Total of Line Item Quantity,Shipping Paid,Tracking Number,Length,Width,Height,Insurance,Dim Weight Applied,Dim Weight,Billable Weight oz,Rounded Oz,Shipping Rate,Peak Surcharges,Date - Shipped Date
Halftee,DHL SM Parcel Expedited,Halftee,HT189525,US,22015-3764,16,7,4,1.98,420220159361211015300881377752,9,11,1,,Yes,10,16,16,10.01,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT189490,US,22032-3425,13.7,7,5,1.98,420220329361211015300882479431,9,11,1,,Yes,10,14,14,7.45,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189506,US,22153-3519,7.9,7,3,1.98,420221539361211015300881352599,9,11,1,,Yes,10,10,8,5.84,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT189596,US,22727-4345,6.1,7,2,4.99,420227279361211015300882527866,9,11,1,,Yes,10,10,7,5.84,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189529,US,23693-2963,14.7,8,3,1.98,420236939361211015300881362352,9,11,1,,Yes,10,15,15,7.65,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT189657,US,25422-3170,11.6,7,3,1.98,420254229361211015300883052008,9,11,1,,Yes,10,12,12,5.84,0,2025-10-03
Halftee,DHL SM Parcel Expedited,Halftee,HT189508,US,32356-0292,10.7,7,3,1.98,420323569361211015300881392946,9,11,1,,Yes,10,11,11,5.84,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT189655,US,32828-6602,14.1,8,5,1.98,420328289361211015300883115529,9,11,1,,Yes,10,15,15,7.65,0,2025-10-03
Halftee,DHL SM Parcel Expedited,Halftee,HT189457,US,32824-7417,3.8,8,2,6.97,420328249361211015300880669216,9,11,1,,Yes,10,10,4,6.02,0,2025-09-29
Halftee,DHL SM Parcel Expedited,Halftee,HT189528,US,32935-4759,10.6,8,2,6.97,420329359361211015300881367906,9,11,1,,Yes,10,11,11,6.02,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT187024-EXC,US,16066-3364,5,7,1,0,420160669361211015300881372689,9,11,1,,Yes,10,10,5,5.84,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT189515,US,19958-4891,12.2,8,1,4.99,420199589361211015300880684066,9,11,1,,Yes,10,13,13,7.65,0,2025-09-29
Halftee,DHL SM Parcel Expedited,Halftee,HT189521,US,20164-5307,7,7,2,6.97,420201649361211015300881362345,9,11,1,,Yes,10,10,7,5.84,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT189437,US,11701-2325,4.8,8,1,6.97,420117019361211015300881367975,8,6,1,,Yes,5,5,5,5.01,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT189324,US,11735-4507,17.7,8,4,1.98,420117359361211015300880684035,14,12,1,,Yes,32,32,32,13.83,0,2025-09-29
Halftee,DHL SM Parcel Expedited,Halftee,114-1177927-9446622,US,14580-2475,2.6,7,1,0,420145809361211015300880693143,9,11,1,,Yes,10,10,3,5.84,0,2025-09-29
Halftee,DHL SM Parcel Expedited,Halftee,HT189604,US,01740-2006,10.3,8,4,0,420017409361211015300883085938,9,11,1,,Yes,10,11,11,6.02,0,2025-10-03
Halftee,DHL SM Parcel Expedited,Halftee,HT189538,US,35768-5038,3,6,1,6.97,420357689361211015300880693174,9,11,1,,Yes,10,10,3,5.69,0,2025-09-29
Halftee,DHL SM Parcel Expedited,Halftee,HT189518,US,35756-3127,5.9,6,2,4.99,420357569361211015300881387508,9,11,1,,Yes,10,10,6,5.69,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT189615,US,37080-8681,6.8,6,2,6.97,420370809361211015300882527880,9,11,1,,Yes,10,10,7,5.69,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189668,US,37128-1107,2.9,6,1,6.97,420371289361211015300883085990,9,11,1,,Yes,10,10,3,5.69,0,2025-10-03
Halftee,DHL SM Parcel Expedited,Halftee,HT189441,US,37129-8665,15.5,6,3,1.98,420371299361211015300881392977,9,11,1,,Yes,10,16,16,9.6,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT189434,US,37167-6401,9.3,6,3,1.98,420371679361211015300882494069,9,11,1,,Yes,10,10,10,5.69,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189659,US,37601-5100,3.4,7,1,6.97,420376019361211015300883085983,9,11,1,,Yes,10,10,4,5.84,0,2025-10-03
Halftee,DHL SM Parcel Expedited,Halftee,HT189584,US,37801-0940,2.8,7,1,6.97,420378019361211015300882527705,9,11,1,,Yes,10,10,3,5.84,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189425,US,37922-5893,11.1,7,3,1.98,420379229361211015300882532822,9,11,1,,Yes,10,12,12,5.84,0,2025-10-02
Halftee,USPS Ground Advantage,Halftee,HT189667,US,39565-9666,36.1,6,3,1.98,9434611206217815881380,14,12,1,0,No,32,48,48,15.05,0,2025-10-03
Halftee,DHL SM Parcel Expedited,Halftee,HT189496,US,40241-6433,19.2,6,4,1.98,420402419361211015300881392960,9,11,1,,Yes,10,32,32,12.12,0,2025-09-30
Halftee,UPSÂ® Ground,Halftee,HT189489,US,54915-2847,33,6,7,1.98,1ZH594030303613050,10,13,1,0,Yes,13,48,48,15.05,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189527,US,33029-5142,4.6,8,1,6.97,420330299361211015300880678799,9,11,1,,Yes,10,10,5,6.02,0,2025-09-29
Halftee,DHL SM Parcel Expedited,Halftee,HT189539,US,33498-4736,11,8,3,1.98,420334989361211015300881392922,9,11,1,,Yes,10,11,11,6.02,0,2025-09-30
Halftee,DHL SM Parcel Expedited,Halftee,HT189503,US,33415-4551,28.6,8,3,6.97,420334159361211015300882523370,10,13,1,,Yes,13,32,32,13.83,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189600,US,34232-2760,12.6,8,3,6.97,420342329361211015300882464147,9,11,1,,Yes,10,13,13,7.65,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189426,US,28759-9552,8.8,7,2,6.97,420287599361211015300882537667,9,11,1,,Yes,10,10,9,5.84,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189458,US,28806-3005,16.4,7,3,0,420288069361211015300880684073,14,12,1,,Yes,32,32,32,12.7,0,2025-09-29
Halftee,DHL SM Parcel Expedited,Halftee,HT189583,US,29388-8410,8.1,7,3,1.98,420293889361211015300882513500,8,6,1,,Yes,5,9,9,5.84,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,114-4280891-1295425,US,29445-7152,3,7,1,0,420294459361211015300880688804,8,6,1,,Yes,5,5,3,4.87,0,2025-09-29
Halftee,DHL SM Parcel Expedited,Halftee,HT189630,US,30016-7106,4.1,7,1,4.99,420300169361211015300882464284,9,11,1,,Yes,10,10,5,5.84,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT188894-EXC,US,32003-4015,3.7,7,1,0,420320039361211015300882527781,9,11,1,,Yes,10,10,4,5.84,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189446,US,43311-2610,11.6,7,3,6.97,420433119361211015300882532914,9,11,1,,Yes,10,12,12,5.84,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,112-7627626-8832244,US,27596-7148,3,7,1,0,420275969361211015300883085969,9,11,1,,Yes,10,10,3,5.84,0,2025-10-03
Halftee,DHL SM Parcel Expedited,Halftee,HT189618,US,27534-0001,9.9,7,3,1.98,420275349361211015300882527828,9,11,1,,Yes,10,10,10,5.84,0,2025-10-02
Halftee,DHL SM Parcel Expedited,Halftee,HT189632,US,27587-5315,3.1,7,1,6.97,420275879361211015300882488662,9,11,1,,Yes,10,10,4,5.84,0,2025-10-02
